165,woda
70,ocean
42,czerwone
40,czarne
35,głębokie
26,bałtyckie
25,szerokie
22,martwe
21,niebieskie
18,bałtyk
18,może
18,słone
16,fale
16,wakacje
11,statek
9,plaża
8,fala
8,łez
8,rzeka
7,sól
5,duże
5,możliwości
5,ryby
4,głębia
4,piasek
4,wielkie
3,błękit
3,błękitne
3,człowiek
3,głebokie
3,góry
3,krew
3,ląd
3,niebieski
3,plaza
3,pływać
3,potrzeb
3,spokojne
3,stary
3,"stary człowiek"
3,wolność
2,Baltyckie
2,ciepłe
2,czlowiek
2,egejskie
2,gdańsk
2,głebokość
2,głębokość
2,horyzont
2,krwi
2,lato
2,marzeń
2,niebo
2,ogrom
2,ogromne
2,pomysłów
2,przestrzeń
2,spokoju
2,spokój
2,szum
2,Śródziemne
2,zmartwień

